node,color,shape
tend to be zones of high PCO2,white,box
epigenesis,#aacfe5,box
hypogene karstification,#aacfe5,box
upward,white,box
topographically depressed,white,box
caves,#c5c5e0,box
natural,white,box
cave passages,#c5c5e0,box
"either by alluviation , or upwards dissolution through a process commonly known as paragenesis",white,box
in a vadose environment,white,box
epiphreatic zone,#c5c5c5,box
between the highest and lowest levels that the water table fluctuates between,white,box
specific karstic ablation,#fdb87b,box
poljes,#c5c5e0,box
they are one of the rare formations that can support large-scale agriculture,white,box
blind valley,#c5c5e0,box
that terminates abruptly,white,box
at a point where the stream sinks,white,box
ghost rock karstification,#aacfe5,box
intermediate,white,box
where the action of water occurs only as it filters in through fractures,white,box
for example like in granites,white,box
dolines,#c5c5e0,box
sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water,white,box
unroofed caves,#c5c5e0,box
is the consequence of the type and shape of the cave,white,box
"various geological , geomorphological , climate , and hydrological conditions",white,box
karst waters,#c5c5e0,box
natural source and a public and economic good,white,box
lakes,#c5c5e0,box
is the consequence of the difference in the volumes of inflowing and outflowing water,white,box
on the majority of larger karst poljes,white,box
karst poljes,#c5c5e0,box
important regulators of water conditions,white,box
in rivers in the lower parts of river basins,white,box
closed depressions,white,box
on karstic surfaces,white,box
equipotential surfaces,#fdb87b,box
of equal hydraulic head,white,box
collapse dolines,#c5c5e0,box
that were formed with slow collapsing of roofs,white,box
above larger underground cavities,white,box
in karst terrains,white,box
bowlshaped doline,#c5c5e0,box
"In instances where dissolution is the prevailing mechanism , a bowlshaped doline will probably form",white,box
point-recharge doline,#c5c5e0,box
inception doline,#c5c5e0,box
that also originates from the centripetal convergence of water,white,box
this occurs inside a pre-existing hydrogeological structure,white,box
ceiling tube,#c5c5e0,box
remaining in the ceiling of a cave,white,box
Steep-walled,white,box
extends below the water tabl,white,box
chalk,#fdb87b,box
Soft poorly indurated,white,box
in a matrix of verv finely crystalline calcite,white,box
chamber,#c5c5e0,box
in a cave or cave system,white,box
The largest,white,box
chasm,#c5c5e0,box
deep,white,box
in the earth's surface,white,box
chimney,#c5c5e0,box
A narrow vertical shaft,white,box
in the roof of a cave,white,box
generally smaller than an aven,white,box
chockstone,#c5c5e0,box
wedged between the walls of a cave passage,white,box
choke,#fdb87b,box
completely blocking a passage,white,box
chute,#c5c5e0,box
inclined channel or trough,white,box
clay fill,#fdb87b,box
that fills a cave passage,white,box
clay filling,#aacfe5,box
flachkarren,#c5c5e0,box
"Widened joints , or grikes , isolate individual clints",white,box
forming a pavement,white,box
parallel to the bedding,white,box
clint,#c5c5e0,box
closed depression,#c5c5e0,box
enclosed,white,box
having no external drainage,white,box
cockpit,#c5c5e0,box
star-shaped,white,box
Cockpits are the common type of closed depressions in a Kegelkarst,white,box
cockpit karst,#c5c5c5,box
Tropical,white,box
geological processes,#aacfe5,box
"between the lithosphere , the hydrosphere , the atmosphere and the biosphere",white,box
"the forms of CO3 ( mainly CaCO , MgCO ) , HCO , CO , CH , and ( CH O ) n ( organic carbon",white,box
karst springs,#c5c5e0,box
between the subsurface and the surface environments,white,box
carbonate reactions,#aacfe5,box
In karst regions of the world,white,box
gypsum crusts,#c5c5e0,box
form as corrosion residues,white,box
thus enhancing secondary porosity and hydraulic conductivity,white,box
epikarst,#c5c5c5,box
permeable boundary,white,box
between the surface and subsurface environments,white,box
hyporheic zone,#c5c5c5,box
that has a variable thickness and lateral extent,white,box
through which surface water and groundwater exchange and mix,white,box
sand,#c5c5e0,box
which was well washed,white,box
goethite,#fdb87b,box
but can also be created as a precipitate in marshes and springs,white,box
"are the result of dripping , running , trickling , trapped , condensed water etc",white,box
lowland,#c5c5c5,box
with gently sloping hills,white,box
lower,white,box
fluvial karst forms,#c5c5e0,box
that can be found particularly on flat parts of land,white,box
can amount to several 10 per km2,white,box
mesoforms,#c5c5e0,box
scallops,#c5c5e0,box
shallow,white,box
that are shaped by eddies,white,box
up to a few cm long,white,box
active cave,#c5c5e0,box
containing a running stream,white,box
aggressive water,#fdb87b,box
having the ability to dissolve rocks,white,box
anastomosis,#c5c5e0,box
A complex of many irregular and repeatedly connected passages,white,box
in a cave or in a solution - sculptured rock,white,box
anthodite,#c5c5e0,box
feathery or radiating,white,box
apron,#fdb87b,box
smooth,white,box
covering sloping projections from walls of caves or limestone cliffs,white,box
aquifer,#c5c5c5,box
will yield water to a well or spring,white,box
aragonite,#fdb87b,box
like calcite but differing in crystal form,white,box
pinnacle karst,#c5c5e0,box
ridges rise above forest-covered corridors and depressions,white,box
a relief of as much as 120 meters,white,box
arete,#c5c5c5,box
backflooding,#aacfe5,box
caused downstream passage being too small to pass an abnormally high discharge,white,box
Thin ### elongated ### translucent,white,box
projecting from roofs and walls of some caves,white,box
balcony,#c5c5e0,box
on the wall of a cave,white,box
large enough to support one or more persons,white,box
beachrock,#fdb87b,box
friable to indurated,white,box
occurs in thin beds dipping seaward at less than 15,white,box
bedding-plane cave,#c5c5e0,box
especially when there is a difference in susceptibility to corrosion in the two beds,white,box
formed along a bedding plane,white,box
blade,#c5c5e0,box
of which it is an integral part,white,box
generally the remains of a partition or bridge,white,box
In a cave,white,box
dry valley,#c5c5e0,box
without a surface stream channel,white,box
dynamic phreas,#c5c5c5,box
erosion,#aacfe5,box
"by mechanical and chemical actions of all moving agents , such as rivers , wind and glaciers",white,box
at the surface or in caves,white,box
exsurgence,#c5c5e0,box
fed only by percolation water,white,box
fault,#fdb87b,box
separating two parts of a once continuous cock body with relative movement .,white,box
along the fault plane,white,box
fault cave,#c5c5e0,box
by movement of the fault,white,box
developed along a fault or fault zone,white,box
fault plane,#fdb87b,box
along which movement of a fault has taken place,white,box
fissure,#fdb87b,box
an open crack,white,box
in rock or soil,white,box
formed from thin films or trickles of water,white,box
over floors or walls,white,box
fluorometer,#acdda6,box
used in water tracing and dye gauging,white,box
glacier cave,#c5c5e0,box
formed within or beneath a glacier,white,box
grike,#c5c5e0,box
deep ### narrow ### rectilinear,white,box
as a result of solution along a joint,white,box
in a rock outcrop,white,box
elongated and curving,white,box
on a cave surface,white,box
half-blind valley,#c5c5e0,box
half-tube,#c5c5e0,box
"semi-eylindrical , elongate",white,box
in a cave surface,white,box
with considerable width and length,white,box
blocking part of a cave,white,box
column,#c5c5e0,box
from floor to ceiling,white,box
formed by the growth and joining of a stalactite and a stalagmite,white,box
circular or elliptical passage,white,box
"by mechanical action of moving agents , especially water",white,box
in the form of a wavy or folded sheet,white,box
hanging from the roof or wall of a cave,white,box
dark zone,#fdb87b,box
part of a cave which daylight does not reach,white,box
decomposers,#fdb87b,box
that subsist by extracting energy from tissues of dead animals and plants.detritivore,white,box
"of simple but variable form , e.g . , cylindrical , conical , bowl - or dish-shaped",white,box
draining underground,white,box
in karst,white,box
from a few to many hundreds of metres in dimension,white,box
dome,#c5c5e0,box
hemispheroidal hollow,white,box
formed by breakdown and / or salt weathering,white,box
generally in mechanically weak rocks,white,box
cave floor,white,box
dripline,#c5c5e0,box
useful in cave survey to define the beginning of the cave,white,box
formed by drips from the rock above,white,box
on the ground,white,box
formed from drops falling from cave roofs or walls,white,box
travertine,#fdb87b,box
banded,white,box
"precipitated from spring , river or lake water",white,box
tube,#c5c5e0,box
elliptical or nearly circular in cross-section,white,box
tufa,#c5c5e0,box
"from spring , river or lake waters",white,box
twilight zone,#c5c5e0,box
the part of a cave,white,box
uvala,#c5c5e0,box
with several lesser depressions within its rim,white,box
vadose zone,#c5c5c5,box
through which water descends under gravity,white,box
the zone where voids in the rock are partly filled with air,white,box
vauclusian spring,#c5c5e0,box
"rising up a deep , steeply inclined , waterfilled passage into a small surface pool",white,box
vermiculation,#c5c5e0,box
"pattern of thin , worm-shaped coatings of day",white,box
on cave surfaces,white,box
water table,#fdb87b,box
"between phreatic water , which completely fills voids in the rock , and ground air , which partially fills higher voids",white,box
water tracing,#acdda6,box
on the surface or underground,white,box
well,#c5c5e0,box
deep ### rounded,white,box
in a cave floor,white,box
jelar breccia,#fdb87b,box
on exposed soluble rock surfaces,white,box
rillenkarren,#c5c5e0,box
form of corrosion,white,box
largest flat-floored enclosed depressions,white,box
uvalas,#c5c5e0,box
of elongated or irregular plan form,white,box
denoting a large depression,white,box
shilin,#c5c5c5,box
formed on a plateau of gently dipping limestone,white,box
stone forest,#c5c5e0,box
standing on an undulating karst plateau,white,box
helictite,#c5c5e0,box
to give a curving or angular form,white,box
hydrology,#acdda6,box
ice cave,#c5c5e0,box
inflow cave,#c5c5e0,box
into which a stream enters or is known to have entered formerly,white,box
karst,#c5c5c5,box
on account of greater solubility of certain rocks in natural waters than is common,white,box
karst window,#c5c5e0,box
dosed,white,box
keyhole,#c5c5e0,box
which is round above and narrow below,white,box
lava-cave,#c5c5e0,box
usually a tube or tunnel,white,box
formed by flow of liquid lava through a solidified mass,white,box
in a lava flow,white,box
limestone,white,box
live cave,#c5c5e0,box
meander niche,#c5c5e0,box
hemispherically roofed part of a cave,white,box
formed by a stream meandering and cutting down at the same time,white,box
moonmilk,#c5c5e0,box
"soft , white plastic",white,box
natural arch,#c5c5e0,box
formed by weathering,white,box
natural bridge,#c5c5e0,box
spanning a ravine or valley,white,box
formed by erosive agents,white,box
thick layer,white,box
at the point where its stream disappears underground,white,box
blowhole,#c5c5e0,box
through which air and water are forced by incoming waves,white,box
near the shore,white,box
"through which air blows in and out with observable force , sometimes audibly",white,box
blue hole,#c5c5e0,box
water rises from below without great turbulence,white,box
drowned,white,box
bogaz,#c5c5e0,box
enlarged by solution of the limestone,white,box
boiling spring,#c5c5e0,box
turbulent,white,box
bone-breccia,#fdb87b,box
botryoid,#c5c5e0,box
grapelike,white,box
generally found on walls of caves,white,box
clusterite,#c5c5e0,box
grape formation,#c5c5e0,box
bourne,#c5c5e0,box
Intermittent,white,box
in a normally dry valley in chalk country,white,box
boxwork,#c5c5e0,box
Network of thin blades,white,box
etched out in relief on the limestone walls and ceiling of a cave,white,box
bridge,#fdb87b,box
a residual rock span across a passage,white,box
buried karst,#c5c5c5,box
buried by younger sediments,white,box
calcarenite,#fdb87b,box
Size of particles ranges from 1 / 16 to 2 millimeters,white,box
calcilutite,#fdb87b,box
in which the grains have an average diameter of less than 1 / 16 millimeter,white,box
calcareous mudstone,#fdb87b,box
calcirudite,#fdb87b,box
fragmental,white,box
in which the particles are generally larger than 2 millimeters,white,box
calcite,#fdb87b,box
like aragonite but differing in crystal form,white,box
calcite bubble,#c5c5e0,box
"the interior is smooth , and the exterior consists of small jagged crystals",white,box
formed by the deposition of calcite around a gas bubble,white,box
forming a fringe of shawls or stalactites on the outer edge,white,box
hanging from a sloping wall projection,white,box
steep-walled,white,box
cut by running water,white,box
formed by collapse of the roof of a long fairly straight cave,white,box
capillary stalagmite,#c5c5e0,box
formed by saturated karst water pushed up through capillaries and small cracks,white,box
in a sinter crust,white,box
carbonate,#fdb87b,box
room or series of rooms and passages,white,box
generally formed by solution of limestone,white,box
large enough to be entered by a man,white,box
cave breakdown,#fdb87b,box
by fall of rock masses from walls and ceiling,white,box
have collapsed from the walls and ceiling of a cave,white,box
cave breccia,#fdb87b,box
Angular,white,box
forming a fill,white,box
either cemented together by dripstone or in a matrix of cave earth,white,box
resembling coral in shape,white,box
"found on floor , walls , or ceiling of a cave",white,box
generally small,white,box
coral formation,#c5c5e0,box
flooring or filling a cave passage,white,box
outflow cave,#c5c5e0,box
palaeokarst,#c5c5c5,box
remnant from a previous period of karstification,white,box
pendulite,#c5c5e0,box
submerged part covered with dog-tooth spar to give the appearance of a drumstick,white,box
which has been partly submerged,white,box
percolation water,#fdb87b,box
"moving mainly downwards through pores , cracks and tight fissures",white,box
in the vadose zone,white,box
permeability,#fdb87b,box
permitting water to pass through it,white,box
phreatic water,#fdb87b,box
below the level at which all voids in the rock are completely filled with water,white,box
phreatic zone,#c5c5c5,box
where voids in the rock are completely filled with water,white,box
pillar,#c5c5e0,box
from roof to floor,white,box
left by the removal of surrounding rock,white,box
pipe,#c5c5e0,box
tubular,white,box
into ' karst rocks,white,box
projecting as much as several metres down from the surface,white,box
plunge pool,#fdb87b,box
generally of large size,white,box
polje,#c5c5e0,box
with a flat floor across which there may be an intermittent or perennial stream,white,box
polygonal karst,#c5c5c5,box
pitted by closed depressions,white,box
porosity,#fdb87b,box
rock or soil,white,box
pseudokarst,#c5c5c5,box
resemble those of karst,white,box
relict karst,#c5c5c5,box
open to modification by present-day processes,white,box
produced by earlier geomorphic processes within the present cycle of karstification,white,box
tecto-karstic hollow,#c5c5e0,box
closed basin,white,box
evolved through karst processes,white,box
inside a tectonic depression,white,box
in the karst terrains,white,box
"with a wide , flat and nearly horizontal floor , completely enclosed between steep slopes",white,box
peripheral polje,#c5c5e0,box
base-level polje,#c5c5e0,box
with a floor cut entirely across karst rocks,white,box
littoral cave,#c5c5e0,box
within the range of tides,white,box
form by wave erosion,white,box
in coastal areas that contain exposed bedrock,white,box
flank margin caves,#c5c5e0,box
series of oval rooms,white,box
result of developing in the thinning margin of the freshwater lens,white,box
"extensive in the horizontal direction , but limited in the vertical direction",white,box
blue holes,#c5c5e0,box
open to the Earth ’ s surface,white,box
provide access to submerged cave passages,white,box
extend below sea level for a majority of their depth,white,box
limonite,#fdb87b,box
sandstone,#fdb87b,box
karst forms,#c5c5e0,box
formed mainly by solutional processes of carbonate rocks,white,box
surface and subsurface,white,box
above known large caves,white,box
depressions with flat bottoms,white,box
result of solutional processes and karst water drainage,white,box
lack an active watercourse over all or parts of their length,white,box
because water is lost in karst or is in a much lower position,white,box
influent cave,#c5c5e0,box
into which a stream flews or formerly entered,white,box
jama,#c5c5e0,box
Vertical or steeply inclined shaft,white,box
pothole,#c5c5e0,box
abime,#c5c5e0,box
joint-plane cave,#c5c5e0,box
developed along steeply dipping joint planes,white,box
high in relation to width,white,box
separated by ridges,white,box
caused by solution,white,box
vary in depth from a few millimeters to more than a meter,white,box
shallow channels separated by sharp ridges,white,box
2 - 3 centimeters apart,white,box
rinnenkarren,#c5c5e0,box
flat-bottomed grooves,white,box
several centimeters apart,white,box
kluftkarren,#c5c5e0,box
joints enlarged by solution,white,box
spitzkarren,#c5c5e0,box
extending down from steep spires or pinnacles,white,box
large deep grooves,white,box
meanderkarren,#c5c5e0,box
winding or meandering channels,white,box
rundkarren,#c5c5e0,box
having rounded channels and intervening rounded ridges,white,box
reexhumed after formation under soil or peat,white,box
fachkarren,#c5c5e0,box
bodenkarren,#c5c5e0,box
karrenfeld,#c5c5e0,box
formed by the dissolving of rock,white,box
karst barre,#c5c5c5,box
karst base level,#fdb87b,box
karstification does not take place,white,box
karst bridge,#c5c5e0,box
bridge or arch,white,box
karst fens,#c5c5e0,box
developed in sinkhole terrain,white,box
karst lake,#c5c5e0,box
in extensive closed depression,white,box
karst margin plain,#c5c5e0,box
plain,white,box
"having a cover of impervious detritus , which allows surface drainage",white,box
karst plain,#c5c5e0,box
karst pond,#c5c5e0,box
Closed depression,white,box
in a karst area,white,box
karst river,#c5c5e0,box
originates from a karst spring,white,box
calcretes,#fdb87b,box
as a result of concentration processes by near-surface evaporation,white,box
near the water table in arid lands,white,box
marginal cave,#c5c5e0,box
the origin of such caves was due to wave action and their gradual loss of connection to the sea,white,box
by its position at the sea coast,white,box
halocline,#fdb87b,box
where the salinity abruptly changes,white,box
glaciers,#fdb87b,box
accumulates on the upper elevations of a glacier,white,box
denuded karst,#c5c5c5,box
with substantial inheritance of solution porosity from the preceding stages of intrastratal development,white,box
develops where the soluble rock has been almost completely exposed from beneath the cover,white,box
open karst,#c5c5c5,box
gypsum needles,#c5c5e0,box
"straight , clear",white,box
that grow by extrusion from the soil,white,box
in some caves,white,box
cave cotton,#fdb87b,box
generally with fiber lengths of a few tens of centimeters but diameters of tens or hundreds of micrometers,white,box
pores,#fdb87b,box
available for the storage of water,white,box
In porous media aquifers,white,box
draining open conduit systems,white,box
hydrothermal karst,#c5c5c5,box
network caves,#c5c5e0,box
formed by widening of nearly all major fractures,white,box
within favorable areas of soluble rocks,white,box
bamboo,#c5c5e0,box
thermoindicator,#c5c5e0,box
flutes,#c5c5e0,box
vertical,white,box
that develop where a water film flows down a high angle rock face,white,box
longitudinal rills,#c5c5e0,box
jamas,#c5c5e0,box
sinking deep into the carbonate massive,white,box
of greater dimensions,white,box
zone of vertical circulation,#c5c5c5,box
area with large joints,white,box
"through which the water circulates quickly , predominantly in the ver - tical direction , down to the groundwater level .",white,box
speleothems,#c5c5e0,box
"take on the form of stalactites , stalagmites , flowstone , and other forms",white,box
conduits,#c5c5e0,box
through which water moves from sinkholes and sinking streams to the outlets at springs,white,box
in limestone,white,box
aeolian cave,#c5c5e0,box
bowl-shaped,white,box
in solid rock,white,box
lava conduits,#c5c5e0,box
by the crusting over of channels .,white,box
within streams of lava,white,box
tunnels,#c5c5e0,box
tubes,#c5c5e0,box
pyroducts,#c5c5e0,box
cave-wall biofilms,#fdb87b,box
on subaerial cave-wall surfaces,white,box
biofilms,#fdb87b,box
microbial draperies,#fdb87b,box
snottites,#fdb87b,box
tiankeng,#c5c5e0,box
with perimeter walls that are close to vertical,white,box
"at least 100 m long , wide and deep",white,box
cenotes,#c5c5e0,box
open depressions,white,box
giving access to the water table,white,box
resulting from the collapse of the roof of submerged cavities,white,box
in the coastal karst belts,white,box
subsidence dolines,#c5c5e0,box
caused by the subsiding of an area .,white,box
intersection dolines,#c5c5e0,box
"formed when an old cave system , partially or totally filled with sediments , is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion",white,box
compound hollow,#c5c5e0,box
originated from the fusion of simpler forms,white,box
polygenetic sink,#c5c5e0,box
evolved through both the karst process and another morphogenetic process,white,box
limestone pavement,#fdb87b,box
commonly divided into blocks by solutionally widened joints,white,box
lost river,#c5c5e0,box
a surface stream,white,box
In a karst region,white,box
lycopodium spores,#acdda6,box
which can be used in natural or dyed color as a label,white,box
in karst areas,white,box
meander,#c5c5e0,box
an arcuate curve,white,box
formed by lateral shifting of a cave stream,white,box
in a channel,white,box
conical or crescentshaped opening,white,box
formed by the downward and lateral erosion of a stream on the floor of a passage,white,box
in the wall of a cave,white,box
merokarst,#c5c5c5,box
microkarst,#c5c5c5,box
surficial features are small,white,box
mischungskorrosion,#aacfe5,box
derived from the mixing of two saturated waters that differ in carbon dioxide partial pressure,white,box
karst inselberg,#c5c5e0,box
karst residual hills,white,box
mogote,#c5c5e0,box
moon milk,#fdb87b,box
plastic,white,box
mud stalagmite,#c5c5e0,box
naked karst,#c5c5c5,box
bare karst,#c5c5c5,box
rock arch,white,box
rock bridge spanning a ravine,white,box
not yet eroded away,white,box
natural tunnel,#c5c5e0,box
generally fairly straight in direction and fairly uniform in cross section,white,box
sanidine,#fdb87b,box
montmorillonite,#fdb87b,box
product of intensive acidic weathering of volcaniclastic material,white,box
smectite,#fdb87b,box
input caves,#c5c5e0,box
leading to epiphreatic tube passages,white,box
juvenile pattern,#fdb87b,box
prevails where soluble rocks are exposed by uplift and by removal of any impermeable cover,white,box
microforms,#c5c5e0,box
Smaller scale forms,white,box
step-wise calibration,#acdda6,box
allowed calibrating the different components of the streamflow according to different hydrologic processes,white,box
secondary porosity,#fdb87b,box
in the post-petrification period,white,box
gravitational water,#fdb87b,box
"due to gravity , penetrates and flows into the underground system",white,box
specific yield,#fdb87b,box
surface karst forms,#c5c5e0,box
shaft,#c5c5e0,box
shake,#c5c5e0,box
especially one formed by subsidence,white,box
shakehole,#c5c5e0,box
"formed by solution , subsidence , and compaction",white,box
shawl,#c5c5e0,box
triangular-shaped,white,box
by trickling water,white,box
"formed on walls , shelves , benches , and terraces",white,box
shield,#c5c5e0,box
disk-shaped,white,box
standing edgewise at a high angle,white,box
sink,#c5c5e0,box
"They may be basin , funnel , or cylindrical shaped",white,box
sinkhole,#c5c5e0,box
sinkhole plain,#c5c5c5,box
nearly all drainage is subterranean,white,box
sinkhole pond,#c5c5e0,box
due to an impervious clay floor or to intersection of depression with the water table,white,box
in closed depression,white,box
sinking creek,#c5c5e0,box
that disappears underground,white,box
sinter,#fdb87b,box
deposited by a mineral spring,white,box
siphon,#c5c5e0,box
in which the ceiling dips below a water surface,white,box
slump pit,#fdb87b,box
caused by erosion beneath the fill,white,box
the clay fill of a cave floor,white,box
solution pan,#c5c5e0,box
generally characterized by flat bottom and overhanging sides,white,box
solution,white,box
panhole,#c5c5e0,box
opferkessel,#c5c5e0,box
tinajita,#c5c5e0,box
kamenitza,#c5c5e0,box
solution pipe,#c5c5e0,box
often without surface expression,white,box
attributable to solution,white,box
sotano,#c5c5e0,box
can store and transmit significant quantities of water,white,box
forms in seawater,white,box
artesian aquifer,#c5c5c5,box
bounded on top and bottom by confining beds,white,box
not enlarged by growth into a major tube or canyon,white,box
has remained almost entirely on the bedding plane,white,box
cirque-dolines,#c5c5e0,box
have been transformed by solution into closed depressions,white,box
aquitard,#c5c5c5,box
keeps groundwater from draining away,white,box
confining bed,#fdb87b,box
aquiclude,#c5c5c5,box
contact karst,#c5c5c5,box
formed by the influence surface river flow,white,box
drawdown,#aacfe5,box
endokarst,#c5c5c5,box
where the internal ( telluric ) energy is dominant and the rock mass is under lithostatic pressure which exceeds its tensile strength,white,box
in the lower part of the karstosphere,white,box
uppermost zone of exposed karst rock,white,box
subcutaneous zone,#c5c5c5,box
highly corroded,white,box
near the surface,white,box
