node1,node2,arrow,label
deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter,dripstone,->,has cause
dripstone,D.1 Abiotic,->,
dry cave,A.2 Underground landform,->,
collapse breccia,D.1 Abiotic,->,
"has formed as the result of the collapse of the roof of a cave , of an underlying cave , or of an overhanging ledge",collapse breccia,->,has cause
collapse sink,A.1 Surface landform,->,
closed,collapse sink,->,has form
closed,dolines,->,has form
closed,sinkholes,->,has form
formed by the collapse of tie roof of a cave,collapse sink,->,has cause
conduit,A.3 Hydrological form,->,
subterranean,conduit,->,is located
subterranean,dead end,->,is located
subterranean,cul-de-sac,->,is located
subterranean,caves,->,is located
cone karst,C. Geome,->,
characterized by star-shaped depressions,cone karst,->,has form
common in the tropicr,cone karst,->,is located
constructive waterfall,A.3 Hydrological form,->,
on a surface stream,constructive waterfall,->,is located
large,constructive waterfall,->,has size
large,ceiling block,->,has size
large,collapse dolines,->,has size
large,dome,->,has size
large,uvalas,->,has size
large,boiling spring,->,has size
large,polje,->,has size
large,karst poljes,->,has size
conulite,A.2 Underground landform,->,
"hollow , cone-shaped",conulite,->,has form
formed when a conical depression is drilled in cave mud by falling water,conulite,->,has cause
corridor,A.2 Underground landform,->,
corridor,A.1 Surface landform,->,
level and straight,corridor,->,has form
Intersecting linear depressions,corridor,->,has form
on the surface of the land,corridor,->,is located
corrosion,B. Process,->,
corrosion,B.2 Loss,->,
by solution or chemical action,corrosion,->,has cause
by solution or chemical action,corrasion,->,has cause
corrasion,B. Process,->,
cove,A.1 Surface landform,->,
Narrow steep-sided,cove,->,has form
flanking limestone plateaus,cove,->,is located
crawl,A.2 Underground landform,->,
crescentic wall niche,crawl,->,has form
crescentic wall niche,crawlway,->,has form
that must be negotiated on hands and knees,crawl,->,has size
that must be negotiated on hands and knees,crawlway,->,has size
crawlway,A.2 Underground landform,->,
crevice karst,C. Geome,->,
intricate irregular,crevice karst,->,has form
has formed by solution widening of closely spaced joints,crevice karst,->,has cause
near rivers,crevice karst,->,is located
Crevices may be as much as 6 meters across and 20 meters deep,crevice karst,->,has size
crust stone,D.1 Abiotic,->,
looks like a flaky crust,crust stone,->,has form
covering portions of walls of caves,crust stone,->,is located
crystal cave,A.2 Underground landform,->,
crystal pool,A.3 Hydrological form,->,
generally having little or no overflow,crystal pool,->,has function
In caves,crystal pool,->,is located
dead end,A.2 Underground landform,->,
having only one entry,dead end,->,has form
having only one entry,cul-de-sac,->,has form
cul-de-sac,A.2 Underground landform,->,
oulo - pholite,A.2 Underground landform,->,
elongate curved,oulo - pholite,->,has form
elongate curved,gypsum flower,->,has form
elongate curved,cave flower,->,has form
on a cave wall,oulo - pholite,->,is located
on a cave wall,gypsum flower,->,is located
on a cave wall,cave flower,->,is located
gypsum flower,A.2 Underground landform,->,
cave flower,A.2 Underground landform,->,
cave formation,A.2 Underground landform,->,
"formed by the accumulation , dripping , or flowing of water",cave formation,->,has cause
cave group,A.2 Underground landform,->,
cave guano,D.2 Biotic,->,
in some places partially mineralized,cave guano,->,has form
in caves,cave guano,->,is located
in caves,anastamose,->,is located
in caves,fungi,->,is located
cave ice,A.2 Underground landform,->,
formed by natural freezing of water,cave ice,->,has cause
cave-in,B. Process,->,
The collapse of the ceiling or side walls of a cave or of the land surface into a subterranean passage as a result of undermining or of pressure from above,cave-in,->,has cause
cave marble,A.2 Underground landform,->,
Banded,cave marble,->,has form
capable of taking a high polish,cave marble,->,has function
pisolith,A.2 Underground landform,->,
formed by concentric precipitation around a nucleus,pisolith,->,has cause
formed by concentric precipitation around a nucleus,pisolite,->,has cause
formed by concentric precipitation around a nucleus,cave pearl,->,has cause
Small,pisolith,->,has size
Small,pisolite,->,has size
Small,cave pearl,->,has size
Small,sinkhole pond,->,has size
Small,rill,->,has size
pisolite,A.2 Underground landform,->,
cave series,A.2 Underground landform,->,
in a particular district,cave series,->,is located
"in a cave , cave system",cave spring,->,is located
underground,cave spring,->,is located
underground,caves,->,is located
underground,conduit,->,is located
underground,cave,->,is located
underground,vertical shafts,->,is located
larger-than-average size,cavern,->,has size
ceiling block,A.2 Underground landform,->,
cubical,ceiling block,->,has form
ceiling cavity,A.2 Underground landform,->,
Solutional,ceiling cavity,->,has cause
in the ceiling of a cave,ceiling cavity,->,is located
ceiling meander,A.2 Underground landform,->,
winding upside-down channel,ceiling meander,->,has form
in a cave ceiling,ceiling meander,->,is located
ceiling slab,A.2 Underground landform,->,
thin,ceiling slab,->,has form
thin,roof slab,->,has form
that has fallen from the ceiling of a cave in roughly horizontal limestone,ceiling slab,->,has cause
that has fallen from the ceiling of a cave in roughly horizontal limestone,roof slab,->,has cause
extensive,ceiling slab,->,has size
extensive,roof slab,->,has size
roof slab,A.2 Underground landform,->,
lampenflora,D.2 Biotic,->,
"growing on illuminated areas such as rocky surfaces , sediment and artificial materials around lamps",lampenflora,->,is located
kras,D.3.1 Geolocation,->,
epikarst aquifer,C. Geome,->,
saturated,epikarst aquifer,->,has form
that stores a part of the infiltrated water,epikarst aquifer,->,has function
within the superficial part of the karst,epikarst aquifer,->,is located
dry valleys,A.1 Surface landform,->,
time series analysis,E. Instrument or method,->,
mostly used to improve the understanding of the hydrological behaviour of karst systems,time series analysis,->,has function
speleogenesis,B. Process,->,
speleogenesis,B.4 Transformation,->,
"critically depends on both , the aggressiveness of groundwater and its circulation ( movement )",speleogenesis,->,has cause
groundwater,D.1 Abiotic,->,
tafoni geomorphology,A.1 Surface landform,->,
a hollow shape,tafoni geomorphology,->,has form
carved by erosion,tafoni geomorphology,->,has cause
in the coastal carbonates,tafoni geomorphology,->,composed
rounded several decimeters to several meters,tafoni geomorphology,->,has size
littoral caves,A.2 Underground landform,->,
formed primarily by wave action,littoral caves,->,has cause
formed primarily by wave action,sea caves,->,has cause
sea caves,A.2 Underground landform,->,
spring mounds,D.2 Biotic,->,
hot beds of biological activity,spring mounds,->,has function
In desert environments,spring mounds,->,is located
tend to be zones of high PCO2,spring mounds,->,composed
epigenesis,B. Process,->,
hypogene karstification,B. Process,->,
upward,hypogene karstification,->,has form
topographically depressed,doline,->,has form
caves,A.2 Underground landform,->,
natural,caves,->,has form
natural,karst poljes,->,has cause
natural,cenote,->,has cause
natural,karst bridge,->,has cause
natural,pseudokarstic caves,->,has cause
cave passages,A.2 Underground landform,->,
"either by alluviation , or upwards dissolution through a process commonly known as paragenesis",cave passages,->,has cause
in a vadose environment,cave passages,->,is located
epiphreatic zone,C. Geome,->,
between the highest and lowest levels that the water table fluctuates between,epiphreatic zone,->,has size
specific karstic ablation,D.3 Property,->,
poljes,A.1 Surface landform,->,
they are one of the rare formations that can support large-scale agriculture,poljes,->,has function
blind valley,A.1 Surface landform,->,
that terminates abruptly,blind valley,->,has form
at a point where the stream sinks,blind valley,->,is located
ghost rock karstification,B. Process,->,
intermediate,ghost rock karstification,->,has form
where the action of water occurs only as it filters in through fractures,ghost rock karstification,->,has cause
for example like in granites,ghost rock karstification,->,composed
dolines,A.1 Surface landform,->,
sign of the current shaping of the surface by precipitation water that percolates vertically through it and passes through the vadose part of the aquifer to the underground water,dolines,->,has cause
unroofed caves,A.2 Underground landform,->,
is the consequence of the type and shape of the cave,unroofed caves,->,has cause
"various geological , geomorphological , climate , and hydrological conditions",unroofed caves,->,composed
karst waters,A.3 Hydrological form,->,
natural source and a public and economic good,karst waters,->,has function
lakes,A.3 Hydrological form,->,
is the consequence of the difference in the volumes of inflowing and outflowing water,lakes,->,has cause
on the majority of larger karst poljes,lakes,->,is located
karst poljes,A.1 Surface landform,->,
important regulators of water conditions,karst poljes,->,has function
in rivers in the lower parts of river basins,karst poljes,->,is located
closed depressions,A.1 Surface landform,->,
closed depressions,poljes,->,has size
on karstic surfaces,closed depressions,->,is located
equipotential surfaces,D.1 Abiotic,->,
of equal hydraulic head,equipotential surfaces,->,has size
collapse dolines,A.1 Surface landform,->,
that were formed with slow collapsing of roofs,collapse dolines,->,has cause
above larger underground cavities,collapse dolines,->,is located
in karst terrains,caves,->,is located
bowlshaped doline,A.1 Surface landform,->,
"In instances where dissolution is the prevailing mechanism , a bowlshaped doline will probably form",bowlshaped doline,->,has cause
point-recharge doline,A.1 Surface landform,->,
inception doline,A.1 Surface landform,->,
that also originates from the centripetal convergence of water,inception doline,->,has cause
this occurs inside a pre-existing hydrogeological structure,inception doline,->,is located
ceiling tube,A.2 Underground landform,->,
remaining in the ceiling of a cave,ceiling tube,->,is located
Steep-walled,cenote,->,has form
extends below the water tabl,cenote,->,is located
chalk,D.1 Abiotic,->,
Soft poorly indurated,chalk,->,has form
in a matrix of verv finely crystalline calcite,chalk,->,is located
chamber,A.2 Underground landform,->,
in a cave or cave system,chamber,->,is located
The largest,chamber,->,has size
chasm,A.1 Surface landform,->,
deep,chasm,->,has form
deep,sotano,->,has size
in the earth's surface,chasm,->,is located
chimney,A.2 Underground landform,->,
A narrow vertical shaft,chimney,->,has form
in the roof of a cave,chimney,->,is located
in the roof of a cave,dome,->,is located
generally smaller than an aven,chimney,->,has size
chockstone,A.2 Underground landform,->,
wedged between the walls of a cave passage,chockstone,->,is located
choke,D.1 Abiotic,->,
completely blocking a passage,choke,->,has function
chute,A.2 Underground landform,->,
inclined channel or trough,chute,->,has form
clay fill,D.1 Abiotic,->,
that fills a cave passage,clay fill,->,has function
clay filling,B. Process,->,
flachkarren,A.1 Surface landform,->,
"Widened joints , or grikes , isolate individual clints",flachkarren,->,has form
"Widened joints , or grikes , isolate individual clints",clint,->,has form
forming a pavement,flachkarren,->,has function
forming a pavement,clint,->,has function
parallel to the bedding,flachkarren,->,is located
parallel to the bedding,clint,->,is located
parallel to the bedding,limestone pavement,->,is located
clint,A.1 Surface landform,->,
closed depression,A.1 Surface landform,->,
enclosed,closed depression,->,has form
having no external drainage,closed depression,->,has function
cockpit,A.1 Surface landform,->,
star-shaped,cockpit,->,has form
Cockpits are the common type of closed depressions in a Kegelkarst,cockpit,->,is located
cockpit karst,C. Geome,->,
Tropical,cockpit karst,->,is located
geological processes,B. Process,->,
"between the lithosphere , the hydrosphere , the atmosphere and the biosphere",geological processes,->,is located
"the forms of CO3 ( mainly CaCO , MgCO ) , HCO , CO , CH , and ( CH O ) n ( organic carbon",geological processes,->,composed
karst springs,A.3 Hydrological form,->,
between the subsurface and the surface environments,karst springs,->,is located
carbonate reactions,B. Process,->,
In karst regions of the world,carbonate reactions,->,is located
gypsum crusts,A.1 Surface landform,->,
form as corrosion residues,gypsum crusts,->,has cause
thus enhancing secondary porosity and hydraulic conductivity,dolomitization,->,has function
epikarst,C. Geome,->,
permeable boundary,epikarst,->,has function
between the surface and subsurface environments,epikarst,->,is located
hyporheic zone,C. Geome,->,
that has a variable thickness and lateral extent,hyporheic zone,->,has form
through which surface water and groundwater exchange and mix,hyporheic zone,->,has function
sand,A.4 Other,->,
which was well washed,sand,->,has form
goethite,D.1 Abiotic,->,
but can also be created as a precipitate in marshes and springs,goethite,->,has cause
"are the result of dripping , running , trickling , trapped , condensed water etc",flowstone,->,has cause
lowland,C. Geome,->,
with gently sloping hills,lowland,->,has form
lower,lowland,->,is located
fluvial karst forms,A.1 Surface landform,->,
that can be found particularly on flat parts of land,fluvial karst forms,->,is located
that can be found particularly on flat parts of land,mesoforms,->,is located
can amount to several 10 per km2,fluvial karst forms,->,has size
can amount to several 10 per km2,mesoforms,->,has size
mesoforms,A.1 Surface landform,->,
scallops,A.2 Underground landform,->,
shallow,scallops,->,has form
that are shaped by eddies,scallops,->,has cause
up to a few cm long,scallops,->,has size
active cave,A.2 Underground landform,->,
containing a running stream,active cave,->,has function
aggressive water,D.1 Abiotic,->,
having the ability to dissolve rocks,aggressive water,->,has function
anastomosis,A.2 Underground landform,->,
A complex of many irregular and repeatedly connected passages,anastomosis,->,has form
in a cave or in a solution - sculptured rock,anastomosis,->,is located
anthodite,A.2 Underground landform,->,
feathery or radiating,anthodite,->,has form
apron,D.1 Abiotic,->,
smooth,apron,->,has form
covering sloping projections from walls of caves or limestone cliffs,apron,->,is located
aquifer,C. Geome,->,
will yield water to a well or spring,aquifer,->,has function
aragonite,D.1 Abiotic,->,
like calcite but differing in crystal form,aragonite,->,has form
pinnacle karst,C. Geome,->,
pinnacle karst,A.1 Surface landform,->,
ridges rise above forest-covered corridors and depressions,pinnacle karst,->,has form
ridges rise above forest-covered corridors and depressions,arete,->,has form
a relief of as much as 120 meters,pinnacle karst,->,has size
a relief of as much as 120 meters,arete,->,has size
arete,C. Geome,->,
backflooding,B. Process,->,
caused downstream passage being too small to pass an abnormally high discharge,backflooding,->,has cause
Thin ### elongated ### translucent,bacon,->,has form
projecting from roofs and walls of some caves,bacon,->,is located
balcony,A.2 Underground landform,->,
on the wall of a cave,balcony,->,is located
large enough to support one or more persons,balcony,->,has size
beachrock,D.1 Abiotic,->,
friable to indurated,beachrock,->,has form
occurs in thin beds dipping seaward at less than 15,beachrock,->,is located
bedding-plane cave,A.2 Underground landform,->,
especially when there is a difference in susceptibility to corrosion in the two beds,bedding-plane cave,->,has cause
formed along a bedding plane,bedding-plane cave,->,is located
blade,A.2 Underground landform,->,
of which it is an integral part,blade,->,has form
generally the remains of a partition or bridge,blade,->,has cause
In a cave,blade,->,is located
In a cave,bridge,->,is located
dry valley,A.1 Surface landform,->,
without a surface stream channel,dry valley,->,has form
dynamic phreas,C. Geome,->,
erosion,B.2 Loss,->,
"by mechanical and chemical actions of all moving agents , such as rivers , wind and glaciers",erosion,->,has cause
at the surface or in caves,erosion,->,is located
exsurgence,A.3 Hydrological form,->,
fed only by percolation water,exsurgence,->,has cause
fault,D.3 Property,->,
separating two parts of a once continuous cock body with relative movement .,fault,->,has function
along the fault plane,fault,->,is located
fault cave,A.2 Underground landform,->,
by movement of the fault,fault cave,->,has cause
developed along a fault or fault zone,fault cave,->,is located
fault plane,D.1 Abiotic,->,
along which movement of a fault has taken place,fault plane,->,has cause
fissure,D.1 Abiotic,->,
an open crack,fissure,->,has form
in rock or soil,fissure,->,composed
formed from thin films or trickles of water,flowstone,->,has cause
over floors or walls,flowstone,->,is located
fluorometer,E.1 Instrument,->,
used in water tracing and dye gauging,fluorometer,->,has function
glacier cave,A.2 Underground landform,->,
formed within or beneath a glacier,glacier cave,->,is located
grike,A.1 Surface landform,->,
deep ### narrow ### rectilinear,grike,->,has form
as a result of solution along a joint,grike,->,has cause
in a rock outcrop,grike,->,is located
elongated and curving,gypsum flower,->,has form
on a cave surface,gypsum flower,->,is located
half-blind valley,A.1 Surface landform,->,
half-tube,A.2 Underground landform,->,
"semi-eylindrical , elongate",half-tube,->,has form
in a cave surface,half-tube,->,is located
with considerable width and length,chamber,->,has size
blocking part of a cave,choke,->,has function
column,A.2 Underground landform,->,
from floor to ceiling,column,->,has form
formed by the growth and joining of a stalactite and a stalagmite,column,->,has cause
circular or elliptical passage,conduit,->,has form
"by mechanical action of moving agents , especially water",corrosion,->,has cause
in the form of a wavy or folded sheet,curtain,->,has form
hanging from the roof or wall of a cave,curtain,->,is located
dark zone,D.3 Property,->,
part of a cave which daylight does not reach,dark zone,->,is located
decomposers,D.2 Biotic,->,
that subsist by extracting energy from tissues of dead animals and plants.detritivore,decomposers,->,has function
"of simple but variable form , e.g . , cylindrical , conical , bowl - or dish-shaped",doline,->,has form
draining underground,doline,->,has function
draining underground,polje,->,has function
in karst,doline,->,composed
in karst,karst poljes,->,is located
from a few to many hundreds of metres in dimension,doline,->,has size
dome,A.2 Underground landform,->,
hemispheroidal hollow,dome,->,has form
formed by breakdown and / or salt weathering,dome,->,has cause
generally in mechanically weak rocks,dome,->,composed
cave floor,driphole,->,is located
dripline,A.2 Underground landform,->,
useful in cave survey to define the beginning of the cave,dripline,->,has function
formed by drips from the rock above,dripline,->,has cause
on the ground,dripline,->,is located
formed from drops falling from cave roofs or walls,dripstone,->,has cause
travertine,D.1 Abiotic,->,
banded,travertine,->,has form
"precipitated from spring , river or lake water",travertine,->,has cause
tube,A.2 Underground landform,->,
elliptical or nearly circular in cross-section,tube,->,has form
tufa,D.1 Abiotic,->,
tufa,A.1 Surface landform,->,
"from spring , river or lake waters",tufa,->,has cause
twilight zone,A.2 Underground landform,->,
the part of a cave,twilight zone,->,is located
uvala,A.1 Surface landform,->,
with several lesser depressions within its rim,uvala,->,has form
vadose zone,C. Geome,->,
through which water descends under gravity,vadose zone,->,has function
the zone where voids in the rock are partly filled with air,vadose zone,->,is located
vauclusian spring,A.3 Hydrological form,->,
"rising up a deep , steeply inclined , waterfilled passage into a small surface pool",vauclusian spring,->,has form
vermiculation,A.2 Underground landform,->,
"pattern of thin , worm-shaped coatings of day",vermiculation,->,has form
on cave surfaces,vermiculation,->,is located
water table,D.1 Abiotic,->,
"between phreatic water , which completely fills voids in the rock , and ground air , which partially fills higher voids",water table,->,is located
water tracing,E.2 Method,->,
on the surface or underground,water tracing,->,is located
on the surface or underground,plunge pool,->,is located
well,A.3 Hydrological form,->,
deep ### rounded,well,->,has form
in a cave floor,well,->,is located
jelar breccia,D.1 Abiotic,->,
on exposed soluble rock surfaces,karren,->,is located
rillenkarren,A.1 Surface landform,->,
form of corrosion,rillenkarren,->,has cause
largest flat-floored enclosed depressions,karst poljes,->,has form
uvalas,A.1 Surface landform,->,
of elongated or irregular plan form,uvalas,->,has form
denoting a large depression,uvala,->,has form
shilin,C. Geome,->,
formed on a plateau of gently dipping limestone,shilin,->,is located
stone forest,A.1 Surface landform,->,
standing on an undulating karst plateau,stone forest,->,is located
helictite,A.2 Underground landform,->,
to give a curving or angular form,helictite,->,has form
hydrology,E.2 Method,->,
ice cave,A.2 Underground landform,->,
inflow cave,A.3 Hydrological form,->,
inflow cave,A.2 Underground landform,->,
into which a stream enters or is known to have entered formerly,inflow cave,->,has function
karst,C. Geome,->,
on account of greater solubility of certain rocks in natural waters than is common,karst,->,has cause
karst window,A.1 Surface landform,->,
dosed,karst window,->,has form
keyhole,A.2 Underground landform,->,
which is round above and narrow below,keyhole,->,has form
lava-cave,A.2 Underground landform,->,
usually a tube or tunnel,lava-cave,->,has form
formed by flow of liquid lava through a solidified mass,lava-cave,->,has cause
in a lava flow,lava-cave,->,is located
limestone,D.1 Abiotic,->,
limestone,scaling chip,->,has form
live cave,A.2 Underground landform,->,
meander niche,A.2 Underground landform,->,
hemispherically roofed part of a cave,meander niche,->,has form
formed by a stream meandering and cutting down at the same time,meander niche,->,has cause
moonmilk,A.2 Underground landform,->,
"soft , white plastic",moonmilk,->,has form
natural arch,D.1 Abiotic,->,
natural arch,A.1 Surface landform,->,
formed by weathering,natural arch,->,has cause
natural bridge,D.1 Abiotic,->,
natural bridge,A.1 Surface landform,->,
spanning a ravine or valley,natural bridge,->,has form
formed by erosive agents,natural bridge,->,has cause
thick layer,blanket,->,has form
at the point where its stream disappears underground,blind valley,->,is located
blowhole,A.1 Surface landform,->,
through which air and water are forced by incoming waves,blowhole,->,has function
near the shore,blowhole,->,is located
"through which air blows in and out with observable force , sometimes audibly",blowhole,->,has function
blue hole,A.3 Hydrological form,->,
blue hole,A.2 Underground landform,->,
water rises from below without great turbulence,blue hole,->,has function
drowned,blue hole,->,is located
bogaz,A.1 Surface landform,->,
enlarged by solution of the limestone,bogaz,->,has cause
boiling spring,A.3 Hydrological form,->,
turbulent,boiling spring,->,has form
bone-breccia,D.1 Abiotic,->,
botryoid,A.2 Underground landform,->,
grapelike,botryoid,->,has form
grapelike,clusterite,->,has form
grapelike,grape formation,->,has form
generally found on walls of caves,botryoid,->,is located
generally found on walls of caves,clusterite,->,is located
generally found on walls of caves,grape formation,->,is located
clusterite,A.2 Underground landform,->,
grape formation,A.2 Underground landform,->,
bourne,A.3 Hydrological form,->,
Intermittent,bourne,->,has function
in a normally dry valley in chalk country,bourne,->,is located
boxwork,A.2 Underground landform,->,
Network of thin blades,boxwork,->,has form
etched out in relief on the limestone walls and ceiling of a cave,boxwork,->,is located
bridge,D.1 Abiotic,->,
a residual rock span across a passage,bridge,->,has form
buried karst,C. Geome,->,
buried by younger sediments,buried karst,->,has cause
calcarenite,D.1 Abiotic,->,
Size of particles ranges from 1 / 16 to 2 millimeters,calcarenite,->,has size
calcilutite,D.1 Abiotic,->,
in which the grains have an average diameter of less than 1 / 16 millimeter,calcilutite,->,has size
in which the grains have an average diameter of less than 1 / 16 millimeter,calcareous mudstone,->,has size
calcareous mudstone,D.1 Abiotic,->,
calcirudite,D.1 Abiotic,->,
fragmental,calcirudite,->,has form
in which the particles are generally larger than 2 millimeters,calcirudite,->,has size
calcite,D.1 Abiotic,->,
like aragonite but differing in crystal form,calcite,->,has form
calcite bubble,A.2 Underground landform,->,
"the interior is smooth , and the exterior consists of small jagged crystals",calcite bubble,->,has form
formed by the deposition of calcite around a gas bubble,calcite bubble,->,has cause
forming a fringe of shawls or stalactites on the outer edge,canopy,->,has form
hanging from a sloping wall projection,canopy,->,is located
steep-walled,canyon,->,has form
cut by running water,canyon,->,has cause
formed by collapse of the roof of a long fairly straight cave,canyon,->,has cause
capillary stalagmite,A.2 Underground landform,->,
formed by saturated karst water pushed up through capillaries and small cracks,capillary stalagmite,->,has cause
in a sinter crust,capillary stalagmite,->,is located
carbonate,D.1 Abiotic,->,
room or series of rooms and passages,cave,->,has form
generally formed by solution of limestone,cave,->,has cause
large enough to be entered by a man,cave,->,has size
cave breakdown,B.1 Movement,->,
cave breakdown,D.1 Abiotic,->,
by fall of rock masses from walls and ceiling,cave breakdown,->,has cause
have collapsed from the walls and ceiling of a cave,cave breakdown,->,has cause
cave breccia,D.1 Abiotic,->,
Angular,cave breccia,->,has form
forming a fill,cave breccia,->,has function
either cemented together by dripstone or in a matrix of cave earth,cave breccia,->,has cause
resembling coral in shape,cave coral,->,has form
resembling coral in shape,coral formation,->,has form
"found on floor , walls , or ceiling of a cave",cave coral,->,is located
"found on floor , walls , or ceiling of a cave",coral formation,->,is located
generally small,cave coral,->,has size
generally small,coral formation,->,has size
coral formation,A.2 Underground landform,->,
flooring or filling a cave passage,cave fill,->,has function
outflow cave,A.2 Underground landform,->,
palaeokarst,C. Geome,->,
remnant from a previous period of karstification,palaeokarst,->,has cause
pendulite,A.2 Underground landform,->,
submerged part covered with dog-tooth spar to give the appearance of a drumstick,pendulite,->,has form
which has been partly submerged,pendulite,->,has cause
percolation water,D.1 Abiotic,->,
"moving mainly downwards through pores , cracks and tight fissures",percolation water,->,has function
in the vadose zone,percolation water,->,is located
permeability,D.3 Property,->,
permitting water to pass through it,permeability,->,has function
phreatic water,D.1 Abiotic,->,
below the level at which all voids in the rock are completely filled with water,phreatic water,->,is located
phreatic zone,C. Geome,->,
where voids in the rock are completely filled with water,phreatic zone,->,is located
pillar,A.2 Underground landform,->,
from roof to floor,pillar,->,has form
left by the removal of surrounding rock,pillar,->,has cause
